match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2019-08-14 17:00:00,0,1,1.333,1.333,1.333,1.333,3,6,2.000,2.333,2.167,1.500,3,8,0.342,-0.504,1.102,0.503,1.5,1.25,5,10.041666666666666,2.9583333333333335,1,1,1,0,1,1,0,1,0,1,0,1,0
2019-08-14 17:00:00,1,1,2.000,2.333,2.167,1.500,3,8,1.333,1.333,1.333,1.333,3,6,1.102,0.503,0.342,-0.504,1.25,1.5,5,2.9583333333333335,10.041666666666666,1,1,1,0,1,1,0,1,0,1,0,1,0
2019-08-14 17:00:00,0,1,2.000,1.333,1.333,1.167,4,6,2.333,3.000,2.833,1.833,6,15,-0.005,0.331,0.460,-0.241,0.5,2.0,1,3.0416666666666665,3.0416666666666665,1,2,1,0,1,0,1,1,0,1,0,1,0
2019-08-14 17:00:00,1,1,2.333,3.000,2.833,1.833,6,15,2.000,1.333,1.333,1.167,4,6,0.460,-0.241,-0.005,0.331,2.0,0.5,4,3.0416666666666665,3.0416666666666665,2,0,1,0,1,0,1,1,0,1,0,1,0
2019-08-14 17:00:00,0,1,1.000,2.000,1.000,2.333,1,2,1.333,2.333,1.333,1.833,1,4,-0.833,0.205,0.005,-0.462,0.5,1.25,4,3.0416666666666665,11.041666666666666,2,0,1,0,1,0,1,1,0,1,0,1,0
2019-08-14 17:00:00,1,1,1.333,2.333,1.333,1.833,1,4,1.000,2.000,1.000,2.333,1,2,0.005,-0.462,-0.833,0.205,1.25,0.5,7,11.041666666666666,3.0416666666666665,1,2,1,0,1,0,1,1,0,1,0,1,0
2019-08-03 16:00:00,0,1,2.333,1.333,1.167,1.833,7,7,1.667,2.000,1.833,1.500,3,9,0.264,-0.074,-0.084,-0.985,1.75,0.25,10,14,14,2,0,1,0,1,0,1,1,0,1,0,1,0
2019-08-03 16:00:00,1,1,1.667,2.000,1.833,1.500,3,9,2.333,1.333,1.167,1.833,7,7,-0.084,-0.985,0.264,-0.074,0.25,1.75,1,14,14,1,2,1,0,1,0,1,1,0,1,0,1,0
2019-08-04 16:00:00,0,1,1.333,1.333,0.833,1.833,4,5,1.333,1.000,0.833,0.667,5,9,-0.278,-0.716,-0.037,0.537,1.25,0.75,6,14,14,0,2,0,0,1,0,1,1,0,1,0,1,0
2019-08-04 16:00:00,1,1,1.333,1.000,0.833,0.667,5,9,1.333,1.333,0.833,1.833,4,5,-0.037,0.537,-0.278,-0.716,0.75,1.25,6,14,14,3,0,0,0,1,0,1,1,0,1,0,1,0
2019-08-03 16:00:00,0,1,1.667,1.667,1.500,1.667,4,6,1.333,1.000,2.167,0.667,6,15,-0.092,-0.913,0.880,0.134,0.75,1.25,4,12.916666666666666,14,1,1,1,0,1,1,0,1,0,1,0,1,0
2019-08-03 16:00:00,1,1,1.333,1.000,2.167,0.667,6,15,1.667,1.667,1.500,1.667,4,6,0.880,0.134,-0.092,-0.913,1.25,0.75,7,14.0,12.916666666666666,1,1,1,0,1,1,0,1,0,1,0,1,0
2019-08-04 16:00:00,0,1,1.000,1.333,1.333,1.167,2,8,1.667,1.333,2.000,1.667,4,8,-0.036,-0.600,-0.153,-0.546,1.0,2.0,4,14,14,1,1,1,0,1,1,0,1,0,1,0,1,0
2019-08-04 16:00:00,1,1,1.667,1.333,2.000,1.667,4,8,1.000,1.333,1.333,1.167,2,8,-0.153,-0.546,-0.036,-0.600,2.0,1.0,7,14,14,1,1,1,0,1,1,0,1,0,1,0,1,0
2019-08-05 17:00:00,0,1,1.000,2.333,0.500,2.167,3,1,2.000,3.000,2.500,1.833,6,12,-0.219,-0.813,1.056,-0.776,2.0,2.0,4,14,14,1,2,1,0,1,0,1,0,1,1,0,1,0
2019-08-05 17:00:00,1,1,2.000,3.000,2.500,1.833,6,12,1.000,2.333,0.500,2.167,3,1,1.056,-0.776,-0.219,-0.813,2.0,2.0,7,14,14,3,0,1,0,1,0,1,0,1,1,0,1,0
2019-08-04 16:00:00,0,1,1.667,0.333,1.167,1.667,9,12,1.000,1.333,1.000,1.167,2,7,-0.454,-0.252,-0.283,0.938,1.0,1.0,1,14,14,2,1,1,0,1,0,1,0,1,1,0,1,0
2019-08-04 16:00:00,1,1,1.000,1.333,1.000,1.167,2,7,1.667,0.333,1.167,1.667,9,12,-0.283,0.938,-0.454,-0.252,1.0,1.0,1,14,14,2,1,1,0,1,0,1,0,1,1,0,1,0
2019-08-04 18:00:00,0,1,2.000,1.333,2.000,1.333,4,10,0.333,0.667,1.500,1.167,2,8,0.422,-0.151,-0.261,0.518,0.5,1.25,4,14,14,1,1,1,0,1,1,0,1,0,1,0,1,0
2019-08-04 18:00:00,1,1,0.333,0.667,1.500,1.167,2,8,2.000,1.333,2.000,1.333,4,10,-0.261,0.518,0.422,-0.151,1.25,0.5,7,14,14,1,1,1,0,1,1,0,1,0,1,0,1,0
2019-08-04 16:00:00,0,1,2.000,1.333,1.333,2.500,4,5,2.333,1.333,2.000,1.000,4,11,0.054,0.116,0.759,0.276,1.5,2.75,3,14,13.916666666666666,0,2,0,0,1,1,0,1,0,1,0,1,0
2019-08-04 16:00:00,1,1,2.333,1.333,2.000,1.000,4,11,2.000,1.333,1.333,2.500,4,5,0.759,0.276,0.054,0.116,2.75,1.5,9,13.916666666666666,14.0,2,0,0,0,1,1,0,1,0,1,0,1,0
2019-08-11 16:00:00,0,1,3.333,0.333,2.833,1.667,9,15,1.333,2.000,1.167,2.000,4,5,1.126,-1.133,-0.244,-0.722,1.3333333333333333,2.3333333333333335,3,5.958333333333333,7.0,2,0,1,0,1,0,1,1,0,1,0,1,0
