match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2020-11-01 20:15:00,0,1,2.667,0.667,2.667,1.667,9,11,0.667,2.000,0.833,1.000,1,8,1.034,-0.377,-0.264,0.144,0.75,2.0,3,8.989583333333334,7.989583333333333,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-11-01 20:15:00,1,1,0.667,2.000,0.833,1.000,1,8,2.667,0.667,2.667,1.667,9,11,-0.264,0.144,1.034,-0.377,2.0,0.75,9,7.989583333333333,8.989583333333334,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-11-01 23:00:00,0,1,0.667,0.000,1.167,0.167,7,14,2.667,1.333,2.667,0.667,4,13,-0.349,0.134,1.487,0.180,0.5,1.5,1,6.958333333333333,7.895833333333333,2,1,1,0,1,0,1,0,1,1,0,1,0
2020-11-01 23:00:00,1,1,2.667,1.333,2.667,0.667,4,13,0.667,0.000,1.167,0.167,7,14,1.487,0.180,-0.349,0.134,1.5,0.5,10,7.895833333333333,6.958333333333333,2,1,1,0,1,0,1,0,1,1,0,1,0
2020-11-01 18:00:00,0,1,1.333,2.000,1.167,1.667,2,4,1.333,1.000,1.667,1.333,3,9,-0.221,-0.408,0.469,0.309,1.0,1.25,4,5.8125,6.895833333333333,2,0,1,0,1,0,1,1,0,1,0,1,0
2020-11-01 18:00:00,1,1,1.333,1.000,1.667,1.333,3,9,1.333,2.000,1.167,1.667,2,4,0.469,0.309,-0.221,-0.408,1.25,1.0,7,6.895833333333333,5.8125,1,2,1,0,1,0,1,1,0,1,0,1,0
2020-11-01 17:45:00,0,1,0.667,0.000,1.000,1.167,5,8,1.333,0.667,0.667,1.000,6,8,0.252,0.164,0.028,0.870,0.25,1.75,1,3.9166666666666665,7.15625,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-11-01 17:45:00,1,1,1.333,0.667,0.667,1.000,6,8,0.667,0.000,1.000,1.167,5,8,0.028,0.870,0.252,0.164,1.75,0.25,10,7.15625,3.9166666666666665,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-11-01 19:45:00,0,1,1.333,1.000,1.167,0.667,5,10,2.333,0.000,2.833,0.167,7,16,0.621,-0.083,3.115,0.109,0.25,2.0,0,4.0,14,0,2,0,0,1,1,0,1,0,1,0,1,0
2020-11-01 19:45:00,1,1,2.333,0.000,2.833,0.167,7,16,1.333,1.000,1.167,0.667,5,10,3.115,0.109,0.621,-0.083,2.0,0.25,12,14.0,4.0,2,0,0,0,1,1,0,1,0,1,0,1,0
2020-11-01 23:05:00,0,1,1.667,1.000,1.500,1.167,7,11,2.000,2.000,2.333,1.333,4,13,0.025,0.102,0.902,0.006,0.5,0.75,3,7.0,7.086805555555555,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-11-01 23:05:00,1,1,2.000,2.000,2.333,1.333,4,13,1.667,1.000,1.500,1.167,7,11,0.902,0.006,0.025,0.102,0.75,0.5,6,7.086805555555555,7.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-11-02 01:10:00,0,1,2.333,1.667,1.333,1.500,4,4,0.667,1.333,1.167,1.333,2,7,0.406,-0.609,0.026,-0.736,1.5,1.0,8,7.0,8.17361111111111,1,1,1,0,1,1,0,1,0,1,0,1,0
