match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2017-04-29 13:00:00,0,1,3.667,1.333,2.167,2.000,9,10,2.000,1.333,2.000,1.333,6,10,0.666,-0.464,1.164,0.918,0.75,1.5,3,7.791666666666667,7.0,1,0,0,1,0,1,0,1,0,1,0,1,0
2017-04-29 13:00:00,1,1,2.000,1.333,2.000,1.333,6,10,3.667,1.333,2.167,2.000,9,10,1.164,0.918,0.666,-0.464,1.5,0.75,9,7.0,7.791666666666667,0,2,0,1,0,1,0,1,0,1,0,1,0
2017-04-28 18:00:00,0,1,1.333,0.667,1.333,0.833,6,12,1.000,2.667,1.500,2.333,1,5,-0.058,0.195,0.838,-0.871,1.0,1.0,1,6.208333333333333,7.0,2,0,1,0,1,0,1,1,0,1,0,1,0
2017-04-28 18:00:00,1,1,1.000,2.667,1.500,2.333,1,5,1.333,0.667,1.333,0.833,6,12,0.838,-0.871,-0.058,0.195,1.0,1.0,1,7.0,6.208333333333333,1,2,1,0,1,0,1,1,0,1,0,1,0
2017-04-28 18:00:00,0,1,0.667,2.333,1.167,2.500,0,3,0.667,2.333,1.167,2.000,0,4,-0.362,-1.154,0.133,-0.014,1.3333333333333333,1.0,5,7.0,7.0,0,2,0,1,0,1,0,1,0,1,0,1,0
2017-04-28 18:00:00,1,1,0.667,2.333,1.167,2.000,0,4,0.667,2.333,1.167,2.500,0,3,0.133,-0.014,-0.362,-1.154,1.0,1.3333333333333333,2,7.0,7.0,1,0,0,1,0,1,0,1,0,1,0,1,0
2017-04-28 18:00:00,0,1,3.000,2.667,2.500,1.667,4,11,1.000,1.000,1.500,1.167,3,9,0.223,-0.731,0.147,0.540,1.0,0.6666666666666666,4,7.0,7.0,1,0,0,1,0,1,0,1,0,1,0,1,0
2017-04-28 18:00:00,1,1,1.000,1.000,1.500,1.167,3,9,3.000,2.667,2.500,1.667,4,11,0.147,0.540,0.223,-0.731,0.6666666666666666,1.0,4,7.0,7.0,0,2,0,1,0,1,0,1,0,1,0,1,0
2017-04-28 18:00:00,0,1,1.667,0.000,1.667,0.833,9,13,0.333,0.333,0.500,0.667,4,8,-0.127,-0.009,-0.117,0.255,0.75,1.75,3,7.0,7.0,0,2,0,1,0,1,0,1,0,1,0,1,0
2017-04-28 18:00:00,1,1,0.333,0.333,0.500,0.667,4,8,1.667,0.000,1.667,0.833,9,13,-0.117,0.255,-0.127,-0.009,1.75,0.75,9,7.0,7.0,1,0,0,1,0,1,0,1,0,1,0,1,0
