match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2018-04-29 07:00:00,0,1,1.000,0.333,0.833,1.333,6,6,0.333,1.333,0.833,1.667,0,3,-0.563,0.568,-0.738,-0.275,2.25,1.0,9,3.875,3.875,3,0,0,0,1,0,1,1,0,1,0,1,0
2018-04-29 07:00:00,1,1,0.333,1.333,0.833,1.667,0,3,1.000,0.333,0.833,1.333,6,6,-0.738,-0.275,-0.563,0.568,1.0,2.25,3,3.875,3.875,0,2,0,0,1,0,1,1,0,1,0,1,0
2018-04-28 10:00:00,0,1,2.000,2.333,1.500,2.000,2,5,1.000,2.667,1.000,1.500,0,5,0.786,-1.042,0.105,-0.511,1.25,1.75,4,3.0,3.0,3,0,0,0,1,0,1,1,0,1,0,1,0
2018-04-28 10:00:00,1,1,1.000,2.667,1.000,1.500,0,5,2.000,2.333,1.500,2.000,2,5,0.105,-0.511,0.786,-1.042,1.75,1.25,7,3.0,3.0,0,2,0,0,1,0,1,1,0,1,0,1,0
2018-04-28 07:00:00,0,1,1.000,0.333,1.167,1.000,7,10,1.667,2.333,1.333,1.667,1,7,0.123,0.470,0.292,-0.242,2.5,0.5,12,2.875,2.875,0,2,0,1,0,1,0,1,0,1,0,1,0
2018-04-28 07:00:00,1,1,1.667,2.333,1.333,1.667,1,7,1.000,0.333,1.167,1.000,7,10,0.292,-0.242,0.123,0.470,0.5,2.5,0,2.875,2.875,1,0,0,1,0,1,0,1,0,1,0,1,0
2018-04-28 07:00:00,0,1,2.333,1.000,1.667,1.167,6,10,1.000,0.333,1.333,0.833,5,8,0.258,0.167,0.333,0.250,1.0,2.0,4,2.875,2.875,1,2,1,0,1,0,1,1,0,1,0,1,0
2018-04-28 07:00:00,1,1,1.000,0.333,1.333,0.833,5,8,2.333,1.000,1.667,1.167,6,10,0.333,0.250,0.258,0.167,2.0,1.0,7,2.875,2.875,2,0,1,0,1,0,1,1,0,1,0,1,0
2018-04-28 06:00:00,0,1,2.667,1.333,2.333,1.167,9,15,0.000,2.667,0.833,2.833,0,0,1.271,0.384,-0.602,-1.789,1.0,1.0,5,2.8333333333333335,2.8333333333333335,3,0,1,0,1,0,1,0,1,0,1,1,0
2018-04-28 06:00:00,1,1,0.000,2.667,0.833,2.833,0,0,2.667,1.333,2.333,1.167,9,15,-0.602,-1.789,1.271,0.384,1.0,1.0,5,2.8333333333333335,2.8333333333333335,2,2,1,0,1,0,1,0,1,0,1,1,0
