match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2020-01-29 19:45:00,0,1,2.000,1.000,1.333,1.667,4,4,2.333,0.333,2.000,0.167,9,18,0.017,-0.435,0.028,0.146,0.75,3.25,1,7.010416666666667,5.989583333333333,0,2,0,0,1,1,0,1,0,1,0,1,0
2020-01-29 19:45:00,1,1,2.333,0.333,2.000,0.167,9,18,2.000,1.000,1.333,1.667,4,4,0.028,0.146,0.017,-0.435,3.25,0.75,10,5.989583333333333,7.010416666666667,2,0,0,0,1,1,0,1,0,1,0,1,0
2020-01-01 20:00:00,0,1,0.667,2.333,1.000,1.500,0,5,1.333,1.000,1.833,1.000,6,13,-0.208,-0.219,0.624,0.077,1.5,1.5,5,3.25,4.010416666666667,2,0,0,0,1,1,0,1,0,1,0,1,0
2020-01-01 20:00:00,1,1,1.333,1.000,1.833,1.000,6,13,0.667,2.333,1.000,1.500,0,5,0.624,0.077,-0.208,-0.219,1.5,1.5,5,4.010416666666667,3.25,0,2,0,0,1,1,0,1,0,1,0,1,0
2020-01-01 12:30:00,0,1,1.333,1.000,1.333,1.167,4,8,1.667,1.333,1.167,1.333,6,9,-0.011,-0.195,-0.374,-0.300,0.25,2.75,0,4.0,2.9375,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-01-01 12:30:00,1,1,1.667,1.333,1.167,1.333,6,9,1.333,1.000,1.333,1.167,4,8,-0.374,-0.300,-0.011,-0.195,2.75,0.25,12,2.9375,4.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-01-01 12:30:00,0,1,0.667,2.000,0.500,2.000,3,6,0.333,2.333,0.667,2.333,0,3,-0.525,-0.109,-0.415,-1.343,1.3333333333333333,1.0,5,3.6979166666666665,3.8958333333333335,1,2,1,0,1,0,1,1,0,1,0,1,0
2020-01-01 12:30:00,1,1,0.333,2.333,0.667,2.333,0,3,0.667,2.000,0.500,2.000,3,6,-0.415,-1.343,-0.525,-0.109,1.0,1.3333333333333333,2,3.8958333333333335,3.6979166666666665,2,0,1,0,1,0,1,1,0,1,0,1,0
2020-01-02 20:00:00,0,1,2.667,0.667,2.833,0.500,9,18,1.000,1.000,1.000,1.000,6,10,2.070,0.463,0.159,0.499,1.0,0.0,3,4.145833333333333,4.083333333333333,2,0,0,0,1,1,0,1,0,1,0,1,0
2020-01-02 20:00:00,1,1,1.000,1.000,1.000,1.000,6,10,2.667,0.667,2.833,0.500,9,18,0.159,0.499,2.070,0.463,0.0,1.0,0,4.083333333333333,4.145833333333333,0,2,0,0,1,1,0,1,0,1,0,1,0
2020-01-01 17:30:00,0,1,2.000,1.000,2.500,1.167,6,12,1.667,2.333,1.500,1.333,4,11,0.756,0.106,-0.114,0.861,2.75,0.75,12,2.9791666666666665,4.104166666666667,2,0,1,0,1,0,1,1,0,1,0,1,0
2020-01-01 17:30:00,1,1,1.667,2.333,1.500,1.333,4,11,2.000,1.000,2.500,1.167,6,12,-0.114,0.861,0.756,0.106,0.75,2.75,0,4.104166666666667,2.9791666666666665,1,2,1,0,1,0,1,1,0,1,0,1,0
2020-01-01 15:00:00,0,1,1.333,1.000,1.167,1.333,6,9,2.333,1.667,1.667,1.667,6,10,-0.206,-0.627,0.243,-0.810,0.5,2.0,4,4.0,3.8958333333333335,0,2,0,0,1,0,1,1,0,1,0,1,0
2020-01-01 15:00:00,1,1,2.333,1.667,1.667,1.667,6,10,1.333,1.000,1.167,1.333,6,9,0.243,-0.810,-0.206,-0.627,2.0,0.5,7,3.8958333333333335,4.0,3,0,0,0,1,0,1,1,0,1,0,1,0
2020-01-01 17:30:00,0,1,1.333,2.000,1.000,1.667,1,2,0.333,0.667,0.833,0.667,2,9,-0.315,-0.189,-0.255,0.036,0.5,1.75,1,4.0,4.104166666666667,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-01-01 17:30:00,1,1,0.333,0.667,0.833,0.667,2,9,1.333,2.000,1.000,1.667,1,2,-0.255,0.036,-0.315,-0.189,1.75,0.5,10,4.104166666666667,4.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2020-01-01 15:00:00,0,1,1.000,1.000,1.500,1.000,4,10,1.667,1.667,2.000,1.333,4,10,-0.006,-0.065,0.897,-0.087,1.25,1.75,4,4.0,3.8958333333333335,1,0,0,1,0,1,0,1,0,1,0,1,0
2020-01-01 15:00:00,1,1,1.667,1.667,2.000,1.333,4,10,1.000,1.000,1.500,1.000,4,10,0.897,-0.087,-0.006,-0.065,1.75,1.25,7,3.8958333333333335,4.0,0,2,0,1,0,1,0,1,0,1,0,1,0
2020-01-01 15:00:00,0,1,1.667,0.000,1.000,0.833,7,8,1.333,1.333,1.667,1.333,4,10,0.388,0.670,0.446,-0.153,1.5,1.5,6,4.0,2.9375,2,0,1,0,1,0,1,1,0,1,0,1,0
