match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2011-09-20 19:00:00,0,1,0.667,1.000,1.167,1.333,2,6,2.000,1.000,1.833,1.333,7,11,0.128,0.205,0.755,-0.169,1.0,1.0,2,3.0833333333333335,3.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-20 19:00:00,1,1,2.000,1.000,1.833,1.333,7,11,0.667,1.000,1.167,1.333,2,6,0.755,-0.169,0.128,0.205,1.0,1.0,2,3.0,3.0833333333333335,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,0,1,1.333,1.333,1.000,2.000,4,5,1.333,1.333,2.000,0.833,4,13,0.268,-0.796,0.614,0.368,0,0,0,4.0,4.0,1,2,1,0,1,0,1,0,1,1,0,1,0
2011-09-21 17:00:00,1,1,1.333,1.333,2.000,0.833,4,13,1.333,1.333,1.000,2.000,4,5,0.614,0.368,0.268,-0.796,0,0,0,4.0,4.0,3,0,1,0,1,0,1,0,1,1,0,1,0
2011-09-21 17:00:00,0,1,0.667,1.000,1.167,1.333,3,7,2.000,1.000,1.833,0.833,7,14,-0.064,-0.179,-0.028,0.220,1.5,1.0,4,4.0,2.9166666666666665,1,0,0,1,0,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,1,1,2.000,1.000,1.833,0.833,7,14,0.667,1.000,1.167,1.333,3,7,-0.028,0.220,-0.064,-0.179,1.0,1.5,1,2.9166666666666665,4.0,0,2,0,1,0,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,0,1,1.333,2.333,0.833,2.167,3,6,0.000,0.333,0.833,1.000,2,5,-0.170,0.135,-0.503,0.604,0,0,0,4.0,4.0,1,0,0,1,0,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,1,1,0.000,0.333,0.833,1.000,2,5,1.333,2.333,0.833,2.167,3,6,-0.503,0.604,-0.170,0.135,0,0,0,4.0,4.0,0,2,0,1,0,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,0,1,2.000,0.667,1.333,0.833,7,11,0.667,1.333,1.500,1.333,2,7,0.012,-0.170,0.223,0.221,1.5,2.0,1,4.0,4.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,1,1,0.667,1.333,1.500,1.333,2,7,2.000,0.667,1.333,0.833,7,11,0.223,0.221,0.012,-0.170,2.0,1.5,4,4.0,4.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,0,1,0.667,1.000,1.000,1.667,2,3,1.000,1.000,1.000,1.000,3,7,-0.532,-0.024,-0.593,0.365,0,0,0,2.9166666666666665,3.0833333333333335,2,0,0,0,1,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,1,1,1.000,1.000,1.000,1.000,3,7,0.667,1.000,1.000,1.667,2,3,-0.593,0.365,-0.532,-0.024,0,0,0,3.0833333333333335,2.9166666666666665,0,2,0,0,1,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,0,1,0.667,1.000,0.667,1.167,2,3,0.667,2.000,1.167,1.333,0,4,-0.466,0.109,0.230,-0.383,1.5,0.5,4,3.0833333333333335,4.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,1,1,0.667,2.000,1.167,1.333,0,4,0.667,1.000,0.667,1.167,2,3,0.230,-0.383,-0.466,0.109,0.5,1.5,1,4.0,3.0833333333333335,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-21 17:00:00,0,1,1.333,1.333,1.667,1.500,4,9,2.000,1.667,1.833,1.500,6,11,0.325,-0.210,-0.385,-0.450,3.0,1.5,3,3.9166666666666665,3.0833333333333335,2,2,1,0,1,0,1,0,1,0,1,0,1
2011-09-21 17:00:00,1,1,2.000,1.667,1.833,1.500,6,11,1.333,1.333,1.667,1.500,4,9,-0.385,-0.450,0.325,-0.210,1.5,3.0,3,3.0833333333333335,3.9166666666666665,5,0,1,0,1,0,1,0,1,0,1,0,1
2011-09-24 17:00:00,0,1,1.000,1.000,0.667,1.000,4,6,1.667,1.667,1.167,1.333,4,7,-0.482,-0.214,-0.278,0.082,0,0,0,3.0,3.0,2,2,1,0,1,0,1,0,1,0,1,0,1
2011-09-24 17:00:00,1,1,1.667,1.667,1.167,1.333,4,7,1.000,1.000,0.667,1.000,4,6,-0.278,0.082,-0.482,-0.214,0,0,0,3.0,3.0,4,0,1,0,1,0,1,0,1,0,1,0,1
2011-09-24 17:00:00,0,1,1.667,1.667,1.833,1.333,4,11,0.667,1.000,1.333,1.000,4,9,0.974,-0.333,0.089,-0.014,3.0,2.0,4,3.9166666666666665,3.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-24 17:00:00,1,1,0.667,1.000,1.333,1.000,4,9,1.667,1.667,1.833,1.333,4,11,0.089,-0.014,0.974,-0.333,2.0,3.0,1,3.0,3.9166666666666665,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-24 17:00:00,0,1,1.667,0.667,1.333,0.833,7,11,1.667,1.667,1.167,1.167,4,7,0.316,0.172,0.064,0.048,0.0,1.0,1,3.0,3.9166666666666665,3,0,1,0,1,0,1,0,1,1,0,1,0
2011-09-24 17:00:00,1,1,1.667,1.667,1.167,1.167,4,7,1.667,0.667,1.333,0.833,7,11,0.064,0.048,0.316,0.172,1.0,0.0,4,3.9166666666666665,3.0,1,2,1,0,1,0,1,0,1,1,0,1,0
2011-09-24 17:00:00,0,1,1.333,0.333,0.833,0.833,5,5,0.333,2.000,0.833,1.333,3,9,0.083,0.330,0.163,-0.128,0,0,0,3.0,3.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-24 17:00:00,1,1,0.333,2.000,0.833,1.333,3,9,1.333,0.333,0.833,0.833,5,5,0.163,-0.128,0.083,0.330,0,0,0,3.0,3.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-24 17:00:00,0,1,2.000,1.667,1.500,1.167,6,11,0.667,1.333,0.667,1.167,1,3,0.168,-0.473,-0.147,0.200,1.5,0.0,6,2.9166666666666665,3.0,1,0,0,1,0,1,0,1,0,1,0,1,0
2011-09-24 17:00:00,1,1,0.667,1.333,0.667,1.167,1,3,2.000,1.667,1.500,1.167,6,11,-0.147,0.200,0.168,-0.473,0.0,1.5,0,3.0,2.9166666666666665,0,2,0,1,0,1,0,1,0,1,0,1,0
2011-09-24 17:00:00,0,1,1.667,0.667,1.333,1.333,4,5,1.333,2.333,1.000,1.333,1,5,0.461,-0.684,-0.501,0.066,2.5,2.0,4,3.0,3.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-24 17:00:00,1,1,1.333,2.333,1.000,1.333,1,5,1.667,0.667,1.333,1.333,4,5,-0.501,0.066,0.461,-0.684,2.0,2.5,1,3.0,3.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-09-24 19:00:00,0,1,2.667,0.333,2.000,0.833,9,13,2.000,1.333,1.833,1.000,5,14,1.191,-0.079,0.962,-0.027,1.5,1.5,2,3.0833333333333335,3.0833333333333335,0,2,0,0,1,0,1,1,0,1,0,1,0
2011-09-24 19:00:00,1,1,2.000,1.333,1.833,1.000,5,14,2.667,0.333,2.000,0.833,9,13,0.962,-0.027,1.191,-0.079,1.5,1.5,2,3.0833333333333335,3.0833333333333335,3,0,0,0,1,0,1,1,0,1,0,1,0
2011-09-25 15:00:00,0,1,2.333,1.333,1.500,1.000,5,8,2.000,1.667,1.667,2.000,5,8,-0.095,0.432,0.550,-0.829,1.5,0.5,4,3.9166666666666665,3.9166666666666665,4,0,1,0,1,0,1,0,1,0,1,1,0
2011-09-25 15:00:00,1,1,2.000,1.667,1.667,2.000,5,8,2.333,1.333,1.500,1.000,5,8,0.550,-0.829,-0.095,0.432,0.5,1.5,1,3.9166666666666665,3.9166666666666665,1,2,1,0,1,0,1,0,1,0,1,1,0
