match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2014-01-08 19:45:00,0,1,2.333,0.667,1.667,0.833,6,12,0.667,2.000,0.833,1.833,1,5,0.450,0.297,-0.191,-0.614,1.25,1.25,7,14,14,1,0,0,1,0,1,0,1,0,1,0,1,0
2014-01-08 19:45:00,1,1,0.667,2.000,0.833,1.833,1,5,2.333,0.667,1.667,0.833,6,12,-0.191,-0.614,0.450,0.297,1.25,1.25,4,14,14,0,2,0,1,0,1,0,1,0,1,0,1,0
2014-01-10 19:30:00,0,1,0.333,1.333,0.333,1.167,1,3,2.000,0.000,1.667,0.333,9,15,-0.438,0.222,0.361,0.096,0.3333333333333333,1.6666666666666667,1,14,14,1,1,1,0,1,1,0,1,0,1,0,1,0
2014-01-10 19:30:00,1,1,2.000,0.000,1.667,0.333,9,15,0.333,1.333,0.333,1.167,1,3,0.361,0.096,-0.438,0.222,1.6666666666666667,0.3333333333333333,7,14,14,1,1,1,0,1,1,0,1,0,1,0,1,0
2014-01-11 16:00:00,0,1,1.000,2.000,0.667,2.500,1,1,2.000,1.000,2.833,0.833,6,13,-0.194,-0.739,1.195,-0.189,0.5,1.25,3,14,14,1,2,1,0,1,0,1,1,0,1,0,1,0
2014-01-11 16:00:00,1,1,2.000,1.000,2.833,0.833,6,13,1.000,2.000,0.667,2.500,1,1,1.195,-0.189,-0.194,-0.739,1.25,0.5,6,14,14,2,0,1,0,1,0,1,1,0,1,0,1,0
2014-01-11 19:00:00,0,1,2.333,0.333,1.833,0.667,9,14,1.000,1.000,1.500,0.833,4,9,0.951,0.270,0.593,-0.115,1.0,0.25,8,14,14,0,2,0,1,0,1,0,1,0,1,0,1,0
2014-01-11 19:00:00,1,1,1.000,1.000,1.500,0.833,4,9,2.333,0.333,1.833,0.667,9,14,0.593,-0.115,0.951,0.270,0.25,1.0,2,14,14,1,0,0,1,0,1,0,1,0,1,0,1,0
2014-01-11 19:00:00,0,1,0.333,1.000,0.500,0.833,3,6,1.000,1.000,1.667,0.500,6,15,-0.375,0.326,0.395,-0.021,0.0,1.0,0,14,2.96875,0,1,0,1,0,1,0,1,0,1,0,1,0
2014-01-11 19:00:00,1,1,1.000,1.000,1.667,0.500,6,15,0.333,1.000,0.500,0.833,3,6,0.395,-0.021,-0.375,0.326,1.0,0.0,3,2.96875,14.0,0,1,0,1,0,1,0,1,0,1,0,1,0
2014-01-11 19:00:00,0,1,1.333,1.333,1.500,1.833,3,7,0.333,3.667,0.667,2.500,0,4,0.785,-0.373,-0.455,-1.775,1.75,1.25,7,14,14,2,0,0,0,1,1,0,1,0,1,0,1,0
2014-01-11 19:00:00,1,1,0.333,3.667,0.667,2.500,0,4,1.333,1.333,1.500,1.833,3,7,-0.455,-1.775,0.785,-0.373,1.25,1.75,4,14,14,0,2,0,0,1,1,0,1,0,1,0,1,0
