match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2012-05-10 19:00:00,0,1,1.667,1.667,1.833,1.167,6,13,0.667,1.333,1.833,1.500,4,11,0.845,-0.362,0.734,-0.605,1.0,2.0,0,4.166666666666667,4.166666666666667,1,2,1,0,1,0,1,0,1,1,0,1,0
2012-05-10 19:00:00,1,1,0.667,1.333,1.833,1.500,4,11,1.667,1.667,1.833,1.167,6,13,0.734,-0.605,0.845,-0.362,2.0,1.0,3,4.166666666666667,4.166666666666667,3,0,1,0,1,0,1,0,1,1,0,1,0
2012-05-01 19:00:00,0,1,1.333,0.333,1.500,0.667,9,15,2.000,0.000,1.500,1.167,9,12,0.188,-0.004,0.239,-0.268,2.0,4.0,0,4.083333333333333,10.083333333333334,2,1,1,0,1,0,1,0,1,1,0,1,0
2012-05-01 19:00:00,1,1,2.000,0.000,1.500,1.167,9,12,1.333,0.333,1.500,0.667,9,15,0.239,-0.268,0.188,-0.004,4.0,2.0,3,10.083333333333334,4.083333333333333,2,1,1,0,1,0,1,0,1,1,0,1,0
2012-05-02 17:00:00,0,1,0.667,0.667,0.667,1.500,3,4,1.000,3.000,1.000,2.167,0,6,-0.315,-0.203,-0.171,-1.114,2.0,0.0,3,3.0833333333333335,3.0833333333333335,2,0,1,0,1,0,1,1,0,1,0,1,0
2012-05-02 17:00:00,1,1,1.000,3.000,1.000,2.167,0,6,0.667,0.667,0.667,1.500,3,4,-0.171,-1.114,-0.315,-0.203,0.0,2.0,0,3.0833333333333335,3.0833333333333335,1,2,1,0,1,0,1,1,0,1,0,1,0
2012-05-02 17:00:00,0,1,1.333,1.000,1.500,1.000,5,9,1.333,0.667,1.833,0.833,6,13,0.310,-0.130,0.926,0.248,0.0,0.3333333333333333,2,3.0833333333333335,3.0833333333333335,2,0,0,0,1,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,1,1,1.333,0.667,1.833,0.833,6,13,1.333,1.000,1.500,1.000,5,9,0.926,0.248,0.310,-0.130,0.3333333333333333,0.0,5,3.0833333333333335,3.0833333333333335,0,2,0,0,1,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,0,1,1.000,1.000,0.833,1.833,3,3,0.667,2.000,1.000,1.167,0,6,0.083,-0.510,-0.114,-0.158,0.0,1.3333333333333333,1,3.0833333333333335,5.0,0,1,0,1,0,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,1,1,0.667,2.000,1.000,1.167,0,6,1.000,1.000,0.833,1.833,3,3,-0.114,-0.158,0.083,-0.510,1.3333333333333333,0.0,7,5.0,3.0833333333333335,0,1,0,1,0,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,0,1,0.667,1.333,0.667,1.333,4,6,1.000,2.000,1.167,1.500,1,7,-0.072,0.086,-0.101,-0.270,0.3333333333333333,0.6666666666666666,4,3.0833333333333335,4.916666666666667,1,0,0,1,0,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,1,1,1.000,2.000,1.167,1.500,1,7,0.667,1.333,0.667,1.333,4,6,-0.101,-0.270,-0.072,0.086,0.6666666666666666,0.3333333333333333,4,4.916666666666667,3.0833333333333335,0,2,0,1,0,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,0,1,2.333,1.333,1.500,1.333,9,13,0.000,2.333,0.833,1.000,0,9,0.424,-0.531,-0.271,-0.088,0.6666666666666666,1.3333333333333333,1,9.90625,3.0833333333333335,4,0,1,0,1,0,1,0,1,0,1,1,0
2012-05-02 17:00:00,1,1,0.000,2.333,0.833,1.000,0,9,2.333,1.333,1.500,1.333,9,13,-0.271,-0.088,0.424,-0.531,1.3333333333333333,0.6666666666666666,7,3.0833333333333335,9.90625,1,2,1,0,1,0,1,0,1,0,1,1,0
2012-05-02 17:00:00,0,1,1.000,2.000,1.000,1.833,1,2,1.000,0.000,1.333,0.667,7,12,-0.162,-0.789,0.178,-0.065,2.0,0.6666666666666666,9,4.916666666666667,3.0833333333333335,1,0,0,1,0,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,1,1,1.000,0.000,1.333,0.667,7,12,1.000,2.000,1.000,1.833,1,2,0.178,-0.065,-0.162,-0.789,0.6666666666666666,2.0,0,3.0833333333333335,4.916666666666667,0,2,0,1,0,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,0,1,1.333,0.333,1.333,1.333,7,10,2.000,1.000,2.333,1.000,6,15,0.383,-0.124,0.771,-0.443,1.6666666666666667,2.3333333333333335,2,3.0833333333333335,2.9166666666666665,0,2,0,1,0,1,0,1,0,1,0,1,0
2012-05-02 17:00:00,1,1,2.000,1.000,2.333,1.000,6,15,1.333,0.333,1.333,1.333,7,10,0.771,-0.443,0.383,-0.124,2.3333333333333335,1.6666666666666667,5,2.9166666666666665,3.0833333333333335,1,0,0,1,0,1,0,1,0,1,0,1,0
2012-05-02 19:00:00,0,1,2.667,1.000,1.833,1.333,7,8,1.667,1.000,1.667,1.167,4,10,0.894,-0.179,0.883,-0.406,1.6666666666666667,0.6666666666666666,7,3.0,3.1666666666666665,2,0,0,0,1,1,0,1,0,1,0,1,0
