match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2010-10-02 17:00:00,0,1,0.000,1.667,0.333,2.333,0,0,0.333,1.333,0.833,1.333,1,4,-0.091,-1.556,-0.162,-0.439,0,0,0,7.0,7.0,0,2,0,0,1,0,1,0,1,1,0,1,0
2010-10-02 17:00:00,1,1,0.333,1.333,0.833,1.333,1,4,0.000,1.667,0.333,2.333,0,0,-0.162,-0.439,-0.091,-1.556,0,0,0,7.0,7.0,4,0,0,0,1,0,1,0,1,1,0,1,0
2010-10-02 17:00:00,0,1,1.333,1.000,1.167,1.000,4,8,0.667,1.333,0.833,1.000,2,7,0.068,0.421,-0.087,0.373,0,0,0,7.0,7.0,1,0,0,1,0,1,0,1,0,1,0,1,0
2010-10-02 17:00:00,1,1,0.667,1.333,0.833,1.000,2,7,1.333,1.000,1.167,1.000,4,8,-0.087,0.373,0.068,0.421,0,0,0,7.0,7.0,0,2,0,1,0,1,0,1,0,1,0,1,0
2010-10-02 17:00:00,0,1,0.667,0.000,1.167,1.000,5,7,1.333,0.333,1.000,0.333,6,11,0.397,-0.257,-0.160,0.458,0,0,0,7.0,6.083333333333333,0,2,0,1,0,1,0,1,0,1,0,1,0
2010-10-02 17:00:00,1,1,1.333,0.333,1.000,0.333,6,11,0.667,0.000,1.167,1.000,5,7,-0.160,0.458,0.397,-0.257,0,0,0,6.083333333333333,7.0,1,0,0,1,0,1,0,1,0,1,0,1,0
2010-10-02 17:00:00,0,1,0.000,2.333,0.833,1.833,0,5,0.667,2.333,0.667,1.500,0,4,0.246,-0.521,-0.488,0.145,0,0,0,7.0,6.916666666666667,2,2,1,0,1,0,1,0,1,0,1,1,0
2010-10-02 17:00:00,1,1,0.667,2.333,0.667,1.500,0,4,0.000,2.333,0.833,1.833,0,5,-0.488,0.145,0.246,-0.521,0,0,0,6.916666666666667,7.0,3,0,1,0,1,0,1,0,1,0,1,1,0
2010-10-02 17:00:00,0,1,2.333,0.333,1.833,1.333,7,7,1.000,1.333,1.000,2.000,4,5,1.111,0.585,0.227,-1.402,0,0,0,7.0,5.916666666666667,3,0,0,0,1,0,1,1,0,1,0,1,0
2010-10-02 17:00:00,1,1,1.000,1.333,1.000,2.000,4,5,2.333,0.333,1.833,1.333,7,7,0.227,-1.402,1.111,0.585,0,0,0,5.916666666666667,7.0,0,2,0,0,1,0,1,1,0,1,0,1,0
2010-10-02 17:00:00,0,1,1.333,1.333,1.000,1.167,4,6,0.667,0.333,0.833,0.833,5,9,-0.725,-0.018,-0.743,0.460,0,0,0,6.083333333333333,7.0,2,0,1,0,1,0,1,1,0,1,0,1,0
2010-10-02 17:00:00,1,1,0.667,0.333,0.833,0.833,5,9,1.333,1.333,1.000,1.167,4,6,-0.743,0.460,-0.725,-0.018,0,0,0,7.0,6.083333333333333,1,2,1,0,1,0,1,1,0,1,0,1,0
2010-10-02 19:00:00,0,1,3.000,1.000,1.833,0.500,9,16,2.000,1.333,2.000,1.167,4,11,0.502,0.767,0.943,0.391,0,0,0,7.0,7.083333333333333,1,1,1,0,1,1,0,1,0,1,0,1,0
2010-10-02 19:00:00,1,1,2.000,1.333,2.000,1.167,4,11,3.000,1.000,1.833,0.500,9,16,0.943,0.391,0.502,0.767,0,0,0,7.083333333333333,7.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2010-10-03 15:00:00,0,1,0.667,0.333,1.167,0.500,5,10,0.333,1.000,0.833,1.000,4,8,0.350,0.184,0.116,-0.549,0,0,0,7.0,7.916666666666667,3,0,1,0,1,0,1,0,1,1,0,1,0
