match_time,camp_type,league_type,my_camp_3matches_gf_avg,my_camp_3matches_ga_avg,my_6matches_gf_avg,my_6matches_ga_avg,my_camp_3matches_pts,my_6matches_pts,op_camp_3matches_gf_avg,op_camp_3matches_ga_avg,op_6matches_gf_avg,op_6matches_ga_avg,op_camp_3matches_pts,op_6matches_pts,my_att_trend,my_def_trend,op_att_trend,op_def_trend,h2h_4matches_gf_avg,h2h_4matches_ga_avg,h2h_4matches_pts,my_rest_period,op_rest_period,score,result_type,both_to_score,1.5_under,1.5_over,2.5_under,2.5_over,3.5_under,3.5_over,4.5_under,4.5_over,5.5_under,5.5_over
2011-10-01 17:00:00,0,1,0.667,1.000,1.500,1.500,3,7,0.333,1.333,1.000,0.833,0,6,0.462,0.121,-0.166,0.324,2.0,0.0,4,7.0,7.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,1,1,0.333,1.333,1.000,0.833,0,6,0.667,1.000,1.500,1.500,3,7,-0.166,0.324,0.462,0.121,0.0,2.0,1,7.0,7.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,0,1,1.333,0.667,1.000,1.167,6,10,0.667,2.667,1.167,2.167,1,5,-0.423,-0.472,0.141,-1.289,0.5,1.0,1,7.0,6.083333333333333,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,1,1,0.667,2.667,1.167,2.167,1,5,1.333,0.667,1.000,1.167,6,10,0.141,-1.289,-0.423,-0.472,1.0,0.5,4,6.083333333333333,7.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,0,1,2.000,0.667,1.333,1.000,7,9,1.000,2.000,1.500,1.500,1,5,0.406,0.492,0.263,-0.393,1.0,0.5,4,7.0,7.0,2,0,0,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,1,1,1.000,2.000,1.500,1.500,1,5,2.000,0.667,1.333,1.000,7,9,0.263,-0.393,0.406,0.492,0.5,1.0,1,7.0,7.0,0,2,0,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,0,1,0.667,1.000,0.667,1.167,2,3,0.333,1.000,0.833,1.667,2,3,-0.422,0.551,-0.307,-0.601,0,0,0,7.0,7.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,1,1,0.333,1.000,0.833,1.667,2,3,0.667,1.000,0.667,1.167,2,3,-0.307,-0.601,-0.422,0.551,0,0,0,7.0,7.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,0,1,1.000,1.333,0.667,1.667,4,3,0.667,0.667,1.833,0.833,3,10,-0.176,-0.602,0.530,0.307,1.5,1.5,2,5.916666666666667,6.083333333333333,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,1,1,0.667,0.667,1.833,0.833,3,10,1.000,1.333,0.667,1.667,4,3,0.530,0.307,-0.176,-0.602,1.5,1.5,2,6.083333333333333,5.916666666666667,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-01 17:00:00,0,1,1.667,2.333,1.667,2.333,4,8,1.000,0.667,1.333,1.167,5,11,0.275,-1.335,0.142,-0.102,1.0,1.5,3,6.083333333333333,7.0,3,0,0,0,1,0,1,1,0,1,0,1,0
2011-10-01 17:00:00,1,1,1.000,0.667,1.333,1.167,5,11,1.667,2.333,1.667,2.333,4,8,0.142,-0.102,0.275,-1.335,1.5,1.0,3,7.0,6.083333333333333,0,2,0,0,1,0,1,1,0,1,0,1,0
2011-10-01 19:00:00,0,1,0.667,0.667,1.167,1.500,3,6,2.000,1.667,1.833,1.333,4,10,-0.071,-0.304,0.094,-0.531,1.0,0.5,3,7.083333333333333,7.0,2,1,1,0,1,0,1,0,1,1,0,1,0
2011-10-01 19:00:00,1,1,2.000,1.667,1.833,1.333,4,10,0.667,0.667,1.167,1.500,3,6,0.094,-0.531,-0.071,-0.304,0.5,1.0,3,7.0,7.083333333333333,2,1,1,0,1,0,1,0,1,1,0,1,0
2011-10-02 15:00:00,0,1,2.000,1.667,2.000,1.333,5,12,2.000,2.000,1.833,1.667,6,11,0.572,-0.197,0.972,0.167,2.0,1.5,4,7.916666666666667,6.833333333333333,2,0,0,0,1,1,0,1,0,1,0,1,0
2011-10-02 15:00:00,1,1,2.000,2.000,1.833,1.667,6,11,2.000,1.667,2.000,1.333,5,12,0.972,0.167,0.572,-0.197,1.5,2.0,1,6.833333333333333,7.916666666666667,0,2,0,0,1,1,0,1,0,1,0,1,0
2011-10-02 15:00:00,0,1,0.667,0.333,0.833,1.167,4,5,0.000,0.667,0.667,1.000,1,4,-0.051,-0.170,-0.447,0.185,1.5,0.0,4,7.916666666666667,7.0,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-02 15:00:00,1,1,0.000,0.667,0.667,1.000,1,4,0.667,0.333,0.833,1.167,4,5,-0.447,0.185,-0.051,-0.170,0.0,1.5,1,7.0,7.916666666666667,1,1,1,0,1,1,0,1,0,1,0,1,0
2011-10-02 19:00:00,0,1,1.667,0.667,2.167,0.833,9,16,1.000,1.000,1.667,0.833,4,13,0.962,0.176,0.407,0.304,1.5,1.0,4,8.0,8.083333333333334,2,0,0,0,1,1,0,1,0,1,0,1,0
2011-10-02 19:00:00,1,1,1.000,1.000,1.667,0.833,4,13,1.667,0.667,2.167,0.833,9,16,0.407,0.304,0.962,0.176,1.0,1.5,1,8.083333333333334,8.0,0,2,0,0,1,1,0,1,0,1,0,1,0
